KGHM
PKOBP
ALLEGRO
CDPROJEKT
PKNORLEN
PZU
DINOPL
PEKAO
PGNIG
LPP
CYFRPLSAT
SANPL
PGE
ORANGEPL
CCC
ASSECOPOL
LOTOS
TAURONPE
JSW
MERCATOR
